student_id,roll_number,department,batch_year,graduation_year,current_year,cgpa,location,num_skills,num_certifications,num_internships,has_linkedin,has_github,has_portfolio,num_projects,programming_skills,domain_skills,soft_skills,top_skill_category,avg_skill_proficiency,total_certifications_value,total_internship_months,has_placement,placed_company,placed_role,placed_package,placed_industry,placement_year,time_to_placement_months,career_success_score,target_industry,target_role,career_satisfaction
1,20CSE001,CSE,2020,2024,4,8.9,Bangalore,18,7,3,1,1,1,12,Python|Java|JavaScript|React|Node.js|MongoDB,Web Development|Full Stack|Cloud Computing|DevOps,Leadership|Communication|Problem Solving,Technical,92,18,10,1,Google,Software Engineer,2200000,Technology,2024,1,96,Technology,Full Stack Developer,10
2,20CSE002,CSE,2020,2024,4,8.5,Hyderabad,16,6,2,1,1,1,10,Python|Java|C++|SQL|Docker,Backend Development|Microservices|API Design,Teamwork|Communication|Time Management,Technical,88,15,8,1,Amazon,Software Development Engineer,2000000,Technology,2024,1,94,Technology,Backend Developer,9
3,20CSE003,CSE,2020,2024,4,9.2,Pune,20,8,4,1,1,1,15,Python|TensorFlow|PyTorch|Scikit-learn|Pandas,Machine Learning|Deep Learning|Computer Vision|NLP,Research|Analytical Thinking|Problem Solving,Technical,94,20,14,1,Microsoft,Machine Learning Engineer,2400000,Technology,2024,0,98,AI/ML,ML Engineer,10
4,20CSE004,CSE,2020,2024,4,7.8,Chennai,14,5,2,1,1,0,8,Java|Spring Boot|MySQL|AWS|Jenkins,Backend Development|Cloud Services|CI/CD,Communication|Adaptability,Technical,82,12,7,1,TCS,Software Engineer,800000,Technology,2024,2,86,Technology,Software Engineer,8
5,20CSE005,CSE,2020,2024,4,8.1,Mumbai,15,6,3,1,1,1,9,JavaScript|React|Angular|TypeScript|HTML/CSS,Frontend Development|UI/UX|Responsive Design,Creativity|Teamwork|Problem Solving,Technical,85,14,9,1,Infosys,Frontend Developer,900000,Technology,2024,2,88,Technology,Frontend Developer,8
6,21CSE010,CSE,2021,2025,3,8.6,Guntur,13,5,2,1,1,0,7,Python|JavaScript|React|Django,Web Development|Full Stack,Communication|Leadership,Technical,84,12,6,0,,,0,,,,0,Technology,Full Stack Developer,
7,21CSE011,CSE,2021,2025,3,9.0,Vijayawada,17,7,3,1,1,1,11,Python|Java|C++|Data Structures|Algorithms,Problem Solving|Competitive Programming,Analytical Thinking|Perseverance,Technical,90,16,10,0,,,0,,,,0,Technology,Software Engineer,
8,20IT001,IT,2020,2024,4,8.7,Bangalore,17,7,3,1,1,1,11,Python|AWS|Azure|Terraform|Kubernetes,Cloud Computing|DevOps|Infrastructure,Problem Solving|Communication,Technical,89,17,11,1,Wipro,Cloud Engineer,1200000,Technology,2024,1,91,Cloud,Cloud Architect,9
9,20IT002,IT,2020,2024,4,8.3,Hyderabad,15,6,2,1,1,1,9,Java|React|Spring|MySQL|Git,Full Stack Development|Agile,Teamwork|Time Management,Technical,86,14,8,1,Cognizant,Full Stack Developer,1000000,Technology,2024,2,89,Technology,Full Stack Developer,8
10,20IT003,IT,2020,2024,4,7.6,Pune,12,4,2,1,0,0,6,Python|SQL|Excel|Tableau|Power BI,Data Analysis|Business Intelligence,Analytical Thinking|Communication,Technical,80,10,6,1,Capgemini,Data Analyst,850000,Technology,2024,2,84,Data Analytics,Data Analyst,7
11,21IT010,IT,2021,2025,3,8.8,Visakhapatnam,16,6,3,1,1,1,10,Python|Java|React|Node.js|MongoDB,Web Development|Full Stack,Communication|Problem Solving,Technical,88,15,9,0,,,0,,,,0,Technology,Full Stack Developer,
12,21IT011,IT,2021,2025,3,8.2,Guntur,14,5,2,1,1,0,8,Python|Django|PostgreSQL|Docker,Backend Development|APIs,Teamwork|Communication,Technical,83,12,7,0,,,0,,,,0,Technology,Backend Developer,
13,20ECE001,ECE,2020,2024,4,8.4,Bangalore,13,5,2,1,1,1,8,C|C++|Python|MATLAB|Verilog,VLSI Design|Embedded Systems|Signal Processing,Problem Solving|Analytical,Technical,85,13,7,1,Intel,VLSI Design Engineer,1800000,Semiconductor,2024,1,90,Hardware,VLSI Engineer,9
14,20ECE002,ECE,2020,2024,4,8.0,Hyderabad,14,5,2,1,1,0,7,C|Python|ARM|RTOS|Linux,Embedded Systems|IoT|Firmware Development,Problem Solving|Communication,Technical,82,12,8,1,Qualcomm,Embedded Engineer,1600000,Technology,2024,1,88,Embedded,Embedded Systems Engineer,8
15,20ECE003,ECE,2020,2024,4,7.9,Chennai,12,4,2,1,0,0,6,Python|MATLAB|Signal Processing|DSP,Signal Processing|Communications,Analytical|Teamwork,Technical,81,11,6,1,Samsung,Signal Processing Engineer,1400000,Electronics,2024,2,86,Electronics,Signal Processing,8
16,21ECE010,ECE,2021,2025,3,8.5,Vijayawada,13,5,2,1,1,1,7,C|C++|Python|Embedded C|Arduino,Embedded Systems|IoT,Problem Solving|Communication,Technical,84,12,7,0,,,0,,,,0,Electronics,Embedded Engineer,
17,21ECE011,ECE,2021,2025,3,8.1,Guntur,12,4,2,1,0,0,6,VHDL|Verilog|FPGA|System Verilog,VLSI|Digital Design,Analytical|Teamwork,Technical,82,10,6,0,,,0,,,,0,Semiconductor,VLSI Engineer,
18,20EEE001,EEE,2020,2024,4,8.2,Bangalore,11,4,2,1,0,0,6,MATLAB|Python|PLC|SCADA,Power Systems|Control Systems|Automation,Problem Solving|Analytical,Technical,83,11,6,1,Siemens,Automation Engineer,1300000,Manufacturing,2024,2,87,Manufacturing,Control Engineer,8
19,20EEE002,EEE,2020,2024,4,7.8,Hyderabad,10,4,1,1,0,0,5,MATLAB|AutoCAD|ETAP|Python,Power Systems|Electrical Design,Analytical|Communication,Technical,80,9,4,1,L&T,Electrical Engineer,1100000,Construction,2024,2,84,Construction,Electrical Design,7
20,20EEE003,EEE,2020,2024,4,8.5,Chennai,12,5,2,1,1,0,7,Python|MATLAB|PLC|Control Systems,Automation|Robotics|Industrial IoT,Problem Solving|Leadership,Technical,85,13,7,1,ABB,Automation Engineer,1400000,Manufacturing,2024,1,89,Automation,Automation Specialist,9
21,21EEE010,EEE,2021,2025,3,8.0,Guntur,10,4,2,1,0,0,5,MATLAB|Python|AutoCAD|PLC,Power Systems|Control,Analytical|Teamwork,Technical,81,10,6,0,,,0,,,,0,Power,Electrical Engineer,
22,21EEE011,EEE,2021,2025,3,7.7,Vijayawada,9,3,1,1,0,0,4,MATLAB|ETAP|AutoCAD,Power Systems|Distribution,Communication|Problem Solving,Technical,78,8,4,0,,,0,,,,0,Power,Power Engineer,
23,20MEC001,MEC,2020,2024,4,8.1,Pune,10,4,2,1,0,0,6,AutoCAD|SolidWorks|CATIA|ANSYS,Mechanical Design|CAD/CAM|FEA,Problem Solving|Teamwork,Technical,82,10,6,1,Tata Motors,Design Engineer,1200000,Automotive,2024,2,86,Automotive,Mechanical Engineer,8
24,20MEC002,MEC,2020,2024,4,7.7,Chennai,9,3,1,1,0,0,5,AutoCAD|CREO|GD&T|Manufacturing,Manufacturing|Production Planning,Communication|Analytical,Technical,79,8,4,1,Mahindra,Production Engineer,950000,Automotive,2024,2,83,Manufacturing,Production Engineer,7
25,20MEC003,MEC,2020,2024,4,8.4,Bangalore,11,5,2,1,1,0,7,SolidWorks|ANSYS|CATIA|CFD|Python,Mechanical Design|Thermal Analysis|Simulation,Problem Solving|Analytical,Technical,84,12,7,1,Bosch,Mechanical Design Engineer,1300000,Automotive,2024,1,88,Automotive,Design Engineer,8
